,date,uid,gender,age_group,year,books_read,genre,when_listening
0,2018-01,BCK19,male,18-29,2018,1.8,Business,Exercising
1,2018-01,ANI81,female,18-29,2018,2.2,Mysteries/Thrillers,Commuting
2,2018-01,IIG04,female,18-29,2018,2.5,Mysteries/Thrillers,Walking/Shopping
3,2018-01,CPB34,male,30-49,2018,3.7,Sci-Fi & Fantasy,Commuting
4,2018-01,XCD70,female,30-49,2018,4.0,Podcasts,Exercising
5,2018-01,XOG87,male,30-49,2018,1.7,Podcasts,Walking/Shopping
6,2018-01,IUF65,male,50-64,2018,1.5,Mysteries/Thrillers,Commuting
7,2018-01,VIK75,male,30-49,2018,2.3,Business,Commuting
8,2018-01,RQR84,male,18-29,2018,1.9,Non-fiction,Home
9,2018-01,RJA71,male,50-64,2018,1.8,Comedy,Exercising
10,2018-01,VXR13,male,30-49,2018,2.7,Sci-Fi & Fantasy,Home
11,2018-01,KBL53,female,50-64,2018,2.3,Mysteries/Thrillers,Commuting
12,2018-01,ECQ03,male,30-49,2018,2.8,Romance,Commuting
13,2018-01,FNS96,female,30-49,2018,3.0,Mysteries/Thrillers,Home
14,2018-01,ZZQ24,male,30-49,2018,3.4,Sci-Fi & Fantasy,Home
15,2018-01,EZL70,male,18-29,2018,1.4,Podcasts,Exercising
16,2018-01,DFG32,female,30-49,2018,1.5,Comedy,Exercising
17,2018-01,LKC03,female,30-49,2018,2.0,Sci-Fi & Fantasy,Commuting
18,2018-01,CLA50,female,65+,2018,3.0,Comedy,Home
19,2018-01,SKZ24,female,30-49,2018,1.5,Non-fiction,Commuting
20,2018-01,TIJ69,male,30-49,2018,4.1,Mysteries/Thrillers,Walking/Shopping
21,2018-01,WKS63,female,30-49,2018,1.6,Sci-Fi & Fantasy,Commuting
22,2018-01,GCW05,male,30-49,2018,3.3,Sci-Fi & Fantasy,Commuting
23,2018-01,NDR97,male,30-49,2018,4.1,Business,Commuting
24,2018-01,KDZ56,male,18-29,2018,0.8,Romance,Exercising
25,2018-01,UKB16,female,30-49,2018,2.7,Mysteries/Thrillers,Home
26,2018-01,JWT96,female,30-49,2018,2.9,Mysteries/Thrillers,Commuting
27,2018-01,HUA58,male,50-64,2018,3.6,History,Walking/Shopping
28,2018-01,NDN53,male,30-49,2018,1.6,Mysteries/Thrillers,Walking/Shopping
29,2018-01,XIH52,female,18-29,2018,2.6,Business,Commuting
30,2018-01,IKY01,male,18-29,2018,2.0,Mysteries/Thrillers,Walking/Shopping
31,2018-01,FZX15,female,50-64,2018,0.7,Mysteries/Thrillers,Commuting
32,2018-01,CII59,male,18-29,2018,3.8,Comedy,Exercising
33,2018-01,VNU47,female,30-49,2018,2.7,Mysteries/Thrillers,Walking/Shopping
34,2018-01,UGV54,female,18-29,2018,2.1,Sci-Fi & Fantasy,Exercising
35,2018-01,KFN16,male,50-64,2018,3.3,Romance,Commuting
36,2018-01,XUP46,female,65+,2018,0.9,Mysteries/Thrillers,Walking/Shopping
37,2018-01,DBW36,female,18-29,2018,1.9,Business,Exercising
38,2018-01,KJU37,male,65+,2018,2.9,Romance,Commuting
39,2018-01,VEZ04,female,18-29,2018,2.0,Business,Commuting
40,2018-01,NVE53,female,50-64,2018,2.8,Sci-Fi & Fantasy,Walking/Shopping
41,2018-01,XDG83,male,50-64,2018,2.2,Romance,Exercising
42,2018-01,YBK15,male,50-64,2018,2.4,Mysteries/Thrillers,Commuting
43,2018-01,ZIQ24,male,18-29,2018,1.9,Business,Commuting
44,2018-01,OGR59,male,18-29,2018,1.6,Mysteries/Thrillers,Home
45,2018-01,HYE06,male,30-49,2018,3.2,Sci-Fi & Fantasy,Home
46,2018-01,TMB91,male,18-29,2018,1.2,Mysteries/Thrillers,Home
47,2018-01,WXF84,female,50-64,2018,0.1,Business,Commuting
48,2018-01,XXU25,male,18-29,2018,3.0,Children,Home
49,2018-01,ZIK60,male,18-29,2018,2.4,Non-fiction,Home
50,2018-01,GEK46,male,30-49,2018,1.5,Children,Commuting
51,2018-01,MEB57,male,30-49,2018,2.5,Mysteries/Thrillers,Home
52,2018-01,YVH84,male,50-64,2018,4.6,Comedy,Home
53,2018-01,HCL52,male,18-29,2018,2.1,Podcasts,Walking/Shopping
54,2018-01,FYB94,male,30-49,2018,2.5,Business,Commuting
55,2018-01,UCO74,female,50-64,2018,0.1,Mysteries/Thrillers,Walking/Shopping
56,2018-01,JMF22,male,65+,2018,1.5,Mysteries/Thrillers,Commuting
57,2018-01,AXB90,female,18-29,2018,1.0,Sci-Fi & Fantasy,Commuting
58,2018-01,ROB97,male,50-64,2018,3.8,Romance,Commuting
59,2018-01,WLH11,female,18-29,2018,2.9,Mysteries/Thrillers,Exercising
60,2018-01,RVF03,female,50-64,2018,2.0,Romance,Commuting
61,2018-01,DFF64,female,18-29,2018,2.8,Non-fiction,Commuting
62,2018-01,OKZ40,female,18-29,2018,2.1,Romance,Home
63,2018-01,DTX14,female,18-29,2018,2.0,Mysteries/Thrillers,Exercising
64,2018-01,WOA52,male,30-49,2018,3.9,Podcasts,Commuting
65,2018-01,FYC87,male,18-29,2018,1.3,Non-fiction,Home
66,2018-01,PIC69,male,30-49,2018,1.4,Romance,Exercising
67,2018-01,EDM80,female,30-49,2018,3.7,Comedy,Walking/Shopping
68,2018-01,UCA14,male,50-64,2018,3.9,Podcasts,Home
69,2018-01,YRB14,female,18-29,2018,1.9,Non-fiction,Home
70,2018-01,CRJ98,female,65+,2018,2.7,Podcasts,Commuting
71,2018-01,VGL60,male,30-49,2018,4.3,Podcasts,Commuting
72,2018-01,AIK78,male,50-64,2018,3.2,Romance,Home
73,2018-01,BBY21,female,50-64,2018,4.4,Mysteries/Thrillers,Home
74,2018-01,UUP78,male,18-29,2018,4.3,Romance,Commuting
75,2018-01,WGK93,female,18-29,2018,2.0,Comedy,Home
76,2018-01,QWW63,female,30-49,2018,2.0,Romance,Commuting
77,2018-01,RAJ76,male,30-49,2018,3.8,Mysteries/Thrillers,Walking/Shopping
78,2018-01,CSP41,female,18-29,2018,2.3,Romance,Home
79,2018-01,PTF60,female,18-29,2018,1.8,Podcasts,Home
80,2018-01,FJU28,female,30-49,2018,3.0,Non-fiction,Commuting
81,2018-01,ZEA77,male,50-64,2018,3.9,Sci-Fi & Fantasy,Exercising
82,2018-01,XRU31,male,18-29,2018,2.3,Comedy,Commuting
83,2018-01,ZPH80,female,18-29,2018,3.5,Romance,Commuting
84,2018-01,BGD46,female,65+,2018,2.4,Mysteries/Thrillers,Walking/Shopping
85,2018-01,NOD59,male,50-64,2018,4.2,Sci-Fi & Fantasy,Walking/Shopping
86,2018-01,IUQ76,female,18-29,2018,2.3,Romance,Exercising
87,2018-01,LGC11,female,65+,2018,2.2,Sci-Fi & Fantasy,Walking/Shopping
88,2018-01,TVV83,female,18-29,2018,4.1,Mysteries/Thrillers,Commuting
89,2018-01,RVD02,male,18-29,2018,2.2,Mysteries/Thrillers,Exercising
90,2018-01,XUD81,female,65+,2018,1.9,Business,Home
91,2018-01,GEW80,male,18-29,2018,1.9,Romance,Exercising
92,2018-01,AUK56,male,50-64,2018,0.9,Podcasts,Walking/Shopping
93,2018-01,OEI57,male,18-29,2018,0.7,Mysteries/Thrillers,Commuting
94,2018-01,IAD29,female,18-29,2018,1.3,Podcasts,Home
95,2018-01,LMK88,male,50-64,2018,2.7,Non-fiction,Exercising
96,2018-01,ERO80,male,65+,2018,2.6,Mysteries/Thrillers,Home
97,2018-01,PEO84,male,30-49,2018,1.8,Romance,Exercising
98,2018-01,NJY80,female,18-29,2018,2.4,Romance,Home
99,2018-01,BNI06,male,18-29,2018,3.2,Comedy,Exercising
100,2018-02,BCK19,male,18-29,2018,2.4,Comedy,Home
101,2018-02,ANI81,female,18-29,2018,2.9,Podcasts,Exercising
102,2018-02,IIG04,female,18-29,2018,2.3,Sci-Fi & Fantasy,Home
103,2018-02,CPB34,male,30-49,2018,3.2,Business,Home
104,2018-02,XCD70,female,30-49,2018,3.6,Business,Home
105,2018-02,XOG87,male,30-49,2018,5.0,Romance,Commuting
106,2018-02,IUF65,male,50-64,2018,2.7,Mysteries/Thrillers,Exercising
107,2018-02,VIK75,male,30-49,2018,0.6,Non-fiction,Commuting
108,2018-02,RQR84,male,18-29,2018,2.7,Sci-Fi & Fantasy,Commuting
109,2018-02,RJA71,male,50-64,2018,1.8,Podcasts,Home
110,2018-02,VXR13,male,30-49,2018,2.5,Mysteries/Thrillers,Commuting
111,2018-02,KBL53,female,50-64,2018,2.8,Non-fiction,Exercising
112,2018-02,ECQ03,male,30-49,2018,3.5,Podcasts,Home
113,2018-02,FNS96,female,30-49,2018,2.4,Romance,Home
114,2018-02,ZZQ24,male,30-49,2018,0.5,Business,Home
