,date,uid,gender,age_group,year,books_read
0,2018-01,BCK19,male,18-29,2018,1.1072720982835849
1,2018-01,ANI81,female,18-29,2018,3.334828504938391
2,2018-01,IIG04,female,18-29,2018,2.9774841412646516
3,2018-01,CPB34,male,30-49,2018,1.520342906031643
4,2018-01,XCD70,female,30-49,2018,1.4957203634342306
5,2018-01,XOG87,male,30-49,2018,2.718916665937276
6,2018-01,IUF65,male,50-64,2018,1.5776859364511087
7,2018-01,VIK75,male,30-49,2018,2.9478247885038833
8,2018-01,RQR84,male,18-29,2018,1.6649930887005782
9,2018-01,RJA71,male,50-64,2018,0.7148374823145178
10,2018-01,VXR13,male,30-49,2018,2.4668696770531375
11,2018-01,KBL53,female,50-64,2018,2.796309128921095
12,2018-01,ECQ03,male,30-49,2018,2.4323688087322193
13,2018-01,FNS96,female,30-49,2018,1.23145192707957
14,2018-01,ZZQ24,male,30-49,2018,0.39321055118308346
15,2018-01,EZL70,male,18-29,2018,1.9289959774180323
16,2018-01,DFG32,female,30-49,2018,2.142375311600511
17,2018-01,LKC03,female,30-49,2018,1.4369308417912885
18,2018-01,CLA50,female,65+,2018,2.724836005310833
19,2018-01,SKZ24,female,30-49,2018,2.392957759290812
20,2018-01,TIJ69,male,30-49,2018,3.84698272616595
21,2018-01,WKS63,female,30-49,2018,1.9906444452892755
22,2018-01,GCW05,male,30-49,2018,1.3672442854439972
23,2018-01,NDR97,male,30-49,2018,0.7232990697712929
24,2018-01,KDZ56,male,18-29,2018,1.9987713514868024
25,2018-01,UKB16,female,30-49,2018,2.0706873855259107
26,2018-01,JWT96,female,30-49,2018,4.248564225051688
27,2018-01,HUA58,male,50-64,2018,2.8416895169523007
28,2018-01,NDN53,male,30-49,2018,3.4470903455877173
29,2018-01,XIH52,female,18-29,2018,0.8503160799810134
30,2018-01,IKY01,male,18-29,2018,0.9694549027795267
31,2018-01,FZX15,female,50-64,2018,3.0805420444406764
32,2018-01,CII59,male,18-29,2018,1.3529975964277698
33,2018-01,VNU47,female,30-49,2018,2.231510732993777
34,2018-01,UGV54,female,18-29,2018,2.6022447360414818
35,2018-01,KFN16,male,50-64,2018,2.354125377080936
36,2018-01,XUP46,female,65+,2018,2.3271655118834045
37,2018-01,DBW36,female,18-29,2018,2.241624195354174
38,2018-01,KJU37,male,65+,2018,2.541501599693638
39,2018-01,VEZ04,female,18-29,2018,0.9114468262648763
40,2018-01,NVE53,female,50-64,2018,1.966170059807862
41,2018-01,XDG83,male,50-64,2018,1.8349981869522716
42,2018-01,YBK15,male,50-64,2018,1.1990898645769241
43,2018-01,ZIQ24,male,18-29,2018,3.050363482353128
44,2018-01,OGR59,male,18-29,2018,2.5106559959392483
45,2018-01,HYE06,male,30-49,2018,1.6966992943268235
46,2018-01,TMB91,male,18-29,2018,2.7385451124457556
47,2018-01,WXF84,female,50-64,2018,4.084668268847812
48,2018-01,XXU25,male,18-29,2018,2.103183777709439
49,2018-01,ZIK60,male,18-29,2018,1.6186820414748662
50,2018-01,GEK46,male,30-49,2018,3.5824021276453237
51,2018-01,MEB57,male,30-49,2018,2.0221440058875504
52,2018-01,YVH84,male,50-64,2018,0.3409714296881887
53,2018-01,HCL52,male,18-29,2018,2.4853705651492244
